incident_id,sensor_id,work_status,location_info_x,location_info_y,collect_time,air_temperature(°C),humidity(volume %),photosynthetic_effect(μmol/m²/s),atmo_pressure(Pa),light_sensor(Lux),min_wind_dir(°),max_wind_dir(°),avg_wind_dir(°),min_wind_speed(m/s),max_wind_speed(m/s),avg_wind_speed(m/s),rainfall(mm),rainfall_time(min),rainfall_extent(mm),max_rainfall_extent(mm),heat_temparature(°C),toppling_condition,co2_concentration(ppm)
1305,311,1,87.30584,44.2181,202409051549,29.33,20.55,1244,95030,84295,75.1,93.3,83.8,1.3,1.9,1.6,426.4,21130,0,0,30.07,0,371
1306,311,1,87.30584,44.2181,202409051649,29.68,20.34,1032,94970,75910,59,99.4,65.3,0.5,0.8,0.6,426.4,21130,0,0,30.82,0,368
1307,311,1,87.30584,44.2181,202409051949,27.75,32.76,161,94970,18440,293.2,303.4,299,2.4,3.1,2.7,426.4,21130,0,0,28.17,0,361
1308,311,1,87.30584,44.2181,202409052049,23.63,42.4,8,95010,660,266,291.4,280.6,1.9,2.5,2.2,426.4,21130,0,0,23.39,0,363
1309,311,1,87.30584,44.2181,202409052149,21.17,48.51,0,95100,0,250.3,277.8,263.4,2.3,3.1,2.6,426.4,21130,0,0,20.84,0,370
1310,311,1,87.30584,44.2181,202409052249,19.99,49.43,0,95150,0,231.5,251.5,239.2,1.4,2,1.7,426.4,21130,0,0,19.54,0,373
1311,311,1,87.30584,44.2181,202409052349,19.16,52.14,0,95130,0,210.1,224.4,215.2,1.3,1.7,1.5,426.4,21130,0,0,18.68,0,375
1312,311,1,87.30584,44.2181,202409060049,18.18,51.18,0,95070,0,206.5,219.5,215.6,0.7,0.9,0.8,426.4,21130,0,0,17.89,0,378
1313,311,1,87.30584,44.2181,202409060149,16.96,56.25,0,95070,0,137.7,156.2,147.2,0.9,1,1,426.4,21130,0,0,16.89,0,387
1314,311,1,87.30584,44.2181,202409060249,16.28,61.68,0,95040,0,108.4,122.4,115,1.2,2,1.6,426.4,21130,0,0,16.11,0,381
1315,311,1,87.30584,44.2181,202409060349,17.22,60.3,0,94960,0,110.9,135,123.6,0.6,1.1,0.8,426.4,21130,0,0,16.9,0,390
1316,311,1,87.30584,44.2181,202409060449,14.37,68.96,0,94980,0,288.4,288.4,288.4,0.4,0.6,0.5,426.4,21130,0,0,14.57,0,420
1317,311,1,87.30584,44.2181,202409060549,13.66,74.87,0,94960,0,218.6,218.6,218.6,0.5,0.5,0.5,426.4,21130,0,0,13.67,0,429
1318,311,1,87.30584,44.2181,202409060649,13.3,74.67,0,95040,0,267.2,279.9,271.2,2.9,3.7,3.5,426.4,21130,0,0,13.48,0,442
1319,311,1,87.30584,44.2181,202409060749,15.32,67.1,5,95100,660,263.2,275.5,266.9,2.1,3.9,3,426.4,21130,0,0,15.18,0,379
1320,311,1,87.30584,44.2181,202409060849,16.78,62.58,103,95120,15575,284.4,300.5,290.9,1.7,2.8,2.3,426.4,21130,0,0,16.96,0,374
1321,311,1,87.30584,44.2181,202409060949,18.93,57.84,429,95130,38425,254.5,298.6,282.7,1.2,2.1,1.6,426.4,21130,0,0,19.91,0,368
1322,311,1,87.30584,44.2181,202409061049,21.18,49.51,772,95140,57345,320.6,328.5,322.8,2.8,3.6,3.2,426.4,21130,0,0,21.56,0,367
1323,311,1,87.30584,44.2181,202409061149,22.95,43.57,1043,95160,70860,23.6,51,38.6,1.1,1.5,1.4,426.4,21130,0,0,23.76,0,366
1324,311,1,87.30584,44.2181,202409061249,24.95,38.6,1243,95040,81195,53.7,109.5,64.8,1.7,3.9,2.8,426.4,21130,0,0,25.5,0,359
1325,311,1,87.30584,44.2181,202409061349,26.86,33.11,1340,94930,87025,61.3,94.6,78,0.7,1.7,1.1,426.4,21130,0,0,28,0,361
